Location,Scenario,Contextual_Similarity
Medieval Village,Staging an Intervention,0.73
Outdoor Pool,Navigating a foreign city with a broken map and no language skills,0.73
Ghost Town,Trying to convince everyone the party isn't dead at 4 AM,0.73
Hospital Room,Running Out of Gas,0.73
Attic,Attempting to perform open-heart surgery using a YouTube tutorial,0.73
Bakery,Purchasing a haunted antique that won't stop screaming,0.73
Gymnasium,Trying to start a slow clap in an empty room,0.73
Restaurant,Trying to hide a dead body in a shallow grave,0.73
Military Base,Trying to return a half-eaten meal claiming it was poisoned,0.73
Spaceship,Trying to break up with someone who thinks you're proposing,0.73
Ambulance,Accidentally muting the CEO during a company-wide call,0.73
Shopping Mall,Explaining to the mafia boss why the pizza is late,0.73
Movie Set,Confronting the person who keeps eating your labeled yogurt,0.73
Parking Lot,Not knowing how to use a manual can opener,0.73
University Lecture Hall,Faking an injury to get out of helping a friend move,0.73
Diner,Arguing with the GPS voice out loud,0.73
Hospital,Ruining a child's birthday party with an inappropriate magic trick,0.73
Barbershop,Waking up with a terrible face tattoo,0.73
Carnival,Realizing you booked the wrong flight on the wrong continent,0.73
College Campus,Interviewing for a job you already have,0.73
Military Base,Waving back at someone who wasn't waving at you,0.73
Island,Solving a Murder,0.73
Psychiatric Ward,Trying to hide the fact that you live in your car during a date,0.73
Zoo,Explaining why you parked in the Mayor's reserved spot,0.73
Fishing Village,Getting your tongue stuck to a frozen pole,0.73
Pub,Disastrous First Date,0.73
Kitchen,Sneezing during a bank robbery,0.73
Taxi,Agreeing to help a ghost move on,0.73
Arctic Tundra,Discovering a Conspiracy,0.73
Pond,Finding a treasure map on the back of a fast-food receipt,0.73
Dystopian World,Destroying a child's belief in Santa Claus,0.73
Canal,Emergency Evacuation,0.73
Recording Studio,After-Party That Won't End,0.73
Car Accident Site,Accidentally pledging allegiance to a supervillain,0.73
Astronaut Training Facility,Trying to unionize the office while the CEO is in the room,0.73
Space Station,Entering a hot dog eating contest to impress a vegetarian,0.73
Fitness Center,Interrupting a moment of silence with a loud ringtone,0.73
Prom,Epic Prank War,0.73
Psychiatric Ward,Ruining the Bride's Dress,0.73
Medieval Castle,Realizing you booked the wrong flight on the wrong continent,0.73
Elevator,Epic Prank War,0.73
Fire Station,Being challenged to a dance battle by a group of teenagers,0.73
Moon Base,Blowing a kiss to a stranger by accident,0.73
Ski Resort,Having a shouting match with a parrot,0.73
Public Restroom,"Taping a ""kick me"" sign to your own back",0.73
Morgue,Getting Locked Out,0.73
Subway Train,Getting caught building a doomsday device in the garage,0.73
Restaurant,Accidentally buying a cursed doll at a garage sale,0.73
Golf Course,Discovering a Conspiracy,0.73
Small Town,Going undercover in a high school as a 30-year-old,0.73
Island,Swearing in front of a group of nuns,0.73
Motel,Arguing with the GPS voice out loud,0.73
Museum,Calling 911 because you lost the TV remote,0.73
Swamp,Running Out of Gas,0.73
Pub,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.73
Desert,Getting Stood Up,0.73
Apartment Building,Trying to return a half-eaten sandwich,0.73
Garage,Having a shouting match with a parrot,0.73
Motel,Ruining a silent retreat by having hiccups,0.73
Medieval Village,Having a shouting match with a parrot,0.73
Casual Dining Restaurant,Accidentally wearing a Halloween costume to a black-tie wedding,0.73
On the phone,Keeping a stolen penguin in your bathtub,0.73
Dystopian World,Attempting to steal the Declaration of Independence,0.73
Space Station,Complaining About the Boss to the Boss,0.73
Art Studio,House Party That Got Out of Hand,0.73
Courthouse,Negotiating with a kidnapper,0.73
Lake,Backpacker Cultural Misunderstanding,0.73
Small Town,Starting a Bar Fight,0.73
Cavern,Falling in Love at First Sight,0.73
Pirate Ship,Biting into a fake apple at an open house,0.73
Elevator,Offending a wizard and getting turned into a frog,0.73
Restaurant,Taking credit for a colleague's idea right in front of them,0.73
Space Station,Cheating at a Board Game,0.73
Fire Station,Waving back at someone who wasn't waving at you,0.73
Garage,Accidentally destroying a child's sandcastle masterpiece,0.73
Tattoo Parlor,Getting bitten by a radioactive spider and getting terrible powers,0.73
Virtual Reality World,Trying to sneak out of a house party with a stolen bottle of wine,0.73
Harbor,Wearing a tuxedo to a pool party,0.73
Factory,Accidental Reply-All Disaster,0.73
County Fair,Ruining the Bride's Dress,0.73
Virtual Reality World,Explaining why you are wearing sunglasses indoors at night,0.73
Construction Site,Running Out of Gas,0.73
Vet Clinic,Accidentally adopting three angry feral cats,0.73
International Space Station,Trying to give yourself a haircut in the dark,0.73
Military Helicopter,Knocking over a domino world record attempt,0.73
Bazaar,Accidentally buying a cursed doll at a garage sale,0.73
Fitness Center,Getting Locked Out,0.73
Military Helicopter,Losing the winning lottery ticket in the trash,0.73
Rainforest,Trying to hide the fact that you live in your car during a date,0.73
Antiques Shop,House Party That Got Out of Hand,0.73
Countryside,Hiding a Fugitive,0.73
Coffeehouse,Arguing Over the Bill,0.73
Shopping Mall,Accidentally volunteering for a one-way trip to Mars,0.73
City Bus,Sending an event announcement with a massive typo to the entire university,0.73
Countryside,First Time Meeting the Parents,0.73
War Zone,Destroying a child's belief in Santa Claus,0.73
Rainforest,Arguing with a barista over the definition of a cappuccino,0.73
Subway Train,Trying to invent a new color,0.73
Orchard,Throwing a temper tantrum in a grocery store,0.73
Nightclub,Trying to talk your way out of foreign customs with illegal cheese,0.73
Horse Racing Track,Pretending to be a psychic to scam tourists,0.73
City Bus,Explaining to the mafia boss why the pizza is late,0.73
Military Helicopter,Explaining to the vet why the dog is green,0.73
Countryside,Getting caught putting a fake bug in your soup for a free meal,0.73
Island,Accidentally sending a screenshot of a chat to that chat,0.73
Race Track (Horses),Trying to sneak out of a house party with a stolen bottle of wine,0.73
Bowling Alley,Destroying a luxury hotel room by accident,0.73
Mansion,Accidentally eating the office fridge thief's poisoned bait,0.73
Hotel Room,Apologizing to a mannequin after bumping into it,0.73
Community Center,Joining a cult by accident while looking for a yoga class,0.73
Construction Site,Accidental Reply-All Disaster,0.73
Construction Site,Accidentally Crashing a Wedding,0.73
Yacht,Impersonating a pilot to get free drinks,0.73
Desert,Mispronouncing a very common word on live television,0.73
International Space Station,Investigating a Haunting,0.73
Bazaar,Negotiating a ride hitchhiking with a very strange driver,0.73
Skate Park,Explaining why you are wearing your friend's clothes,0.73
Golf Course,Starting a Bar Fight,0.73
Restaurant,Realizing mid-date you are actually on a job interview,0.73
Halloween Party,Explaining why you are wearing sunglasses indoors at night,0.73
Apartment Building,Getting arrested for stealing a traffic cone,0.73
Museum,Losing the winning lottery ticket in the trash,0.73
Used Car Dealership,Defending a prenuptial agreement written on a napkin,0.73
Pharmacy,Delivering a pizza to a supervillain's secret lair,0.73
Principal's Office,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.73
Dungeon,Being challenged to a dance battle by a group of teenagers,0.73
Clock Tower,Explaining why you are wearing sunglasses indoors at night,0.73
Upscale Hotel Lobby,Trying to arrest a suspect using a citizen's arrest,0.73
Golf Course,Catching a leprechaun but he refuses to give you his gold,0.73
Golf Course,Walking into a glass door in front of your crush,0.73
Science Lab,Escape Room Disaster,0.73
Village,Trying to convince the neighborhood watch you aren't a burglar,0.73
Bank Vault,Accidentally hitting a pedestrian with a golf cart,0.73
Movie Theater,Trying to pass off a fake painting to an art appraiser,0.73
Bookstore,Starting a Bar Fight,0.73
Residential Bathroom,Discovering your roommate is a werewolf,0.73
Jungle,Explaining why you faked your own death to avoid paying rent,0.73
Pool Hall,Lying about being able to speak French in Paris,0.73
Park,Stepping on someone's foot and blaming them,0.73
Cavern,Falling asleep at the wheel of a parked car and screaming when you wake up,0.73
Carnival Funhouse,Walking in on a crime scene,0.73
City Bus,Arriving Way Too Early to a Party,0.73
Parking Lot,Waking up in a different country with no memory of how you got there,0.73
Prison Cell,Organizing a Surprise Party (and Ruining It),0.73
Volcano,Telling a crying child that life isn't fair,0.73
Penthouse Suite,Keeping a stolen penguin in your bathtub,0.73
Dragon's Lair,Investigating a Haunting,0.73
Train Station,Spilling a Dark Secret,0.73
Golf Course,Attempting to steal the Declaration of Independence,0.73
Principal's Office,Wearing two different shoes to a job interview,0.73
Parade,Playing Matchmaker Gone Wrong,0.73
White House,Overthrowing a small island nation's government,0.73
Mansion,Pretending to be blind to get a better seat,0.73
Attic,Using a t-shirt cannon at a funeral,0.7299
Motel,Explaining to border control why your suitcase is full of rocks,0.7299
University Lecture Hall,Accidentally Crashing a Wedding,0.7299
Bridge,Attempting to communicate with aliens via interpretive dance,0.7299
Apartment Building,Defending a prenuptial agreement written on a napkin,0.7299
Swamp,Panicking and throwing your keys into a river,0.7299
Prison Cell,Mistaking superglue for eye drops,0.7299
Pet Store,Passing off store-bought food as your own cooking,0.7299
Motel,Explaining to the mafia boss why the pizza is late,0.7299
Castle,Refusing to leave a store that is actively burning down,0.7299
Amusement Park,Getting amnesia and assuming you are a secret agent,0.7299
Prison Cell,Stealing someone's identity but it turns out they have massive debt,0.7299
Forest,Trying to start a slow clap in an empty room,0.7299
Small Town,Escaping a bad blind date by faking an alien abduction,0.7299
Canal,Accidentally promising to cook a five-course meal for 20 people,0.7299
Tank,Confronting the person who keeps eating your labeled yogurt,0.7299
Garage,"Taping a ""kick me"" sign to your own back",0.7299
Castle,Bribing a health inspector with stale cookies,0.7299
White House,Destroying a luxury hotel room by accident,0.7299
Amusement Park,Explaining a very inappropriate joke to a young child,0.7299
City,Taking a vow of silence and immediately breaking it,0.7299
Military Base,Wearing a tuxedo to a pool party,0.7299
Island,Trying to arrest a suspect using a citizen's arrest,0.7299
Zoo,Blowing a kiss to a stranger by accident,0.7299
Garage,Accidentally breaking a priceless heirloom and blaming the dog,0.7299
Old Pick-Up Truck,Backing over your neighbor's prized rose bush,0.7299
Castle,Trying to return a half-eaten meal claiming it was poisoned,0.7299
Alley,Cheating at a Board Game,0.7299
Astronaut Training Facility,Trying to use a Jedi mind trick on a stubborn bouncer,0.7299
Submarine,Getting caught putting a fake bug in your soup for a free meal,0.7299
Space Station,Accidentally liking your boss's vacation photo from 2014,0.7299
Pool Hall,Going to a costume party a week early,0.7299
Swamp,Accidentally sharing your screen during a private rant about the boss,0.7299
Morgue,Trying to sneak out of a house party with a stolen bottle of wine,0.7299
Coral Reef,Overthrowing a small island nation's government,0.7299
Used Car Dealership,Interrupting a moment of silence with a loud ringtone,0.7299
Canal,Investigating a Haunting,0.7299
Waiting Room,Knocking over a domino world record attempt,0.7299
Waiting Room,Initiating a slow clap that nobody joins,0.7299
Barn,Getting caught hoarding all the free samples at the bakery,0.7299
Dorm Room,Trying to hide a dead body in a shallow grave,0.7299
Prison,Negotiating a hostage situation with coupons,0.7299
Garden,Negotiating a Ransom,0.7299
Forest,Faking an injury to get out of helping a friend move,0.7299
White House,Falling in Love at First Sight,0.7299
Pet Store,Finding a treasure map on the back of a fast-food receipt,0.7299
Cave,Negotiating a Ransom,0.7299
Living Room,Finding out your whole life is a reality TV show,0.7299
